RGB,"34, 40, 52","98, 65, 11","89, 90, 74","92, 65, 35","28, 29, 21"
HSV,"220, 0, 0","38, 0, 0","64, 0, 0","32, 0, 0","68, 0, 0"
LAB,"16, 1, -8","30, 9, 36","37, -3, 9","29, 8, 23","10, -2, 6"
