RGB,"133, 106, 53","228, 183, 80","99, 65, 17","169, 156, 124","179, 172, 146"
HSV,"40, 0, 0","42, 0, 0","36, 0, 0","42, 0, 0","48, 0, 0"
LAB,"46, 4, 33","76, 5, 57","30, 10, 34","64, -1, 19","70, -2, 14"
